Agglo;Habitants;Dpt;Zone;Cambriolage;VolVoiture
Chalon sur Saone;105140;71;Gendarmerie;4.37;0.71
Chalons en Champagne;60907;51;Police;6.85;1.77
Chalons en Champagne;47641;51;Gendarmerie;8.14;2.12
Chambery;81248;73;Police;5.61;2.45
Chambery;150488;73;Gendarmerie;7.16;1.61
Chamonix;58171;74;Gendarmerie;5.45;0.98
Champigny sur Marne;75510;94;Police;5.77;1.95
Chantilly;90597;60;Gendarmerie;6.25;5.64
Charenton le Pont;43860;94;Police;4.79;1.41
Charleville Mezieres;59043;8;Police;3.44;1.47
Charleville Mezieres;56249;8;Gendarmerie;3.66;0.76
Charolles;96362;71;Gendarmerie;2.82;0.83
Chartres;85253;28;Police;7.3;1.98
Chateau Chinon;37006;58;Gendarmerie;4.38;0.92
Chateau Gontier;63426;53;Gendarmerie;3.71;0.77
Chateau Thierry;14480;2;Police;7.8;2.07
Chateau Thierry;58254;2;Gendarmerie;6.4;3.16
Chateaubriant;98419;44;Gendarmerie;7.14;1.91
Chateaudun;69069;28;Gendarmerie;4.14;0.98
Chateaulin;96777;29;Gendarmerie;4;0.62
Chateauroux;63153;36;Police;4.75;1.17
Chatellerault;32459;86;Police;4.9;1.14
Chatellerault;79827;86;Gendarmerie;3.27;0.48
Chatenay Malabry   Sceaux;75100;92;Police;4.7;0.88
Chatou   Le Vesinet;71663;78;Police;4.35;1.19
Chatre ;61998;36;Gendarmerie;3.35;0.6
Chaumont;24065;52;Police;5.36;0.42
Chaumont;42304;52;Gendarmerie;2.86;0.52
Chelles;78396;77;Police;6.82;5.57
Chennevieres sur Marne;90535;94;Police;4.89;2.56
Cherbourg Octeville;82427;50;Police;1.38;0.47
Cherbourg Octeville;108973;50;Gendarmerie;1.39;0.3
Chessy;36919;77;Police;7.69;3.85
Chinon;85876;37;Gendarmerie;4.31;1.01
Choisy le Roi;62300;94;Police;5.44;3.26
Cholet;54098;49;Police;3.97;0.79
Cholet;135955;49;Gendarmerie;2.92;0.66
Clamart;80273;92;Police;4.16;1.53
Clermont;94253;60;Gendarmerie;4.91;3.07
Clermont Ferrand;187309;63;Police;5.7;1.58
Clermont Ferrand;109100;63;Gendarmerie;3.11;1.37
Clichy;58916;92;Police;3.99;1.85
Clichy Montfermeil;55019;93;Police;4.74;3.22
Cognac;22386;16;Police;4.2;3.08
Cognac;61720;16;Gendarmerie;4.67;0.7
Colmar;67615;68;Police;4.53;1.05
Colmar;131730;68;Gendarmerie;3.43;0.54
Colombes;85398;92;Police;3.93;1.53
Commercy;86210;55;Gendarmerie;4.04;1.19
Compiegne;51300;60;Police;6.16;3.82
Compiegne;128514;60;Gendarmerie;8.75;4.24
Concarneau;19048;29;Police;6.98;1
Conde sur l Escaut;29977;59;Police;5.47;2.13
Condom;61062;32;Gendarmerie;4.85;0.72
Conflans en Jarnisy;19876;54;Police;2.82;0.65
Conflans Sainte Honorine;81108;78;Police;5.71;3.19
Confolens;83576;16;Gendarmerie;4.25;0.54
Corbeil Essonnes;43086;91;Police;6.66;4.8
Corte;16920;2B;Gendarmerie;2.25;0.83
Cosne Cours sur Loire;60147;58;Gendarmerie;5.57;1.26
Coulommiers;31360;77;Police;5.71;2.42
Coulommiers;108416;77;Gendarmerie;6.36;3.87
Cournon d Auvergne;34990;63;Police;3.63;2
Coutances;9765;50;Police;1.43;0.51
Coutances;74331;50;Gendarmerie;1.98;0.47
Creil;71105;60;Police;3.7;4.87
Creteil;106498;94;Police;3.12;2.04
Dax;33074;40;Police;6.17;1
Dax;177034;40;Gendarmerie;5.55;0.68
Deauville;36564;14;Gendarmerie;6.62;0.96
Decazeville;16131;12;Police;4.09;0.87
Denain Escaudain;77081;59;Police;5.51;1.25
Deuil la Barre;44219;95;Police;5.79;2.56
Die;36640;26;Gendarmerie;4.91;1.61
Dieppe;44110;76;Police;3.54;1
Dieppe;97907;76;Gendarmerie;1.87;0.53
Dieppe;97907;80;Gendarmerie;1.87;0.53
Digne les Bains;16922;4;Police;5.14;1.54
Digne les Bains;33758;4;Gendarmerie;5.04;1.45
Dijon;195136;21;Police;5.18;1.27
Dijon;106868;21;Gendarmerie;3.79;1.06
Dinan;10819;22;Police;4.16;0.37
